question,choices,answerKey
How does the length of daylight in New York State change from summer to fall?,"{'text': ['It decreases.', 'It increases.', 'It remains the same.'], 'label': ['A', 'B', 'C']}",A
What is the name of the product formed from the reaction shown below? 4Fe(III) + 3O_{2} -> 2Fe_{2}O_{3},"{'text': ['iron (II) oxide', 'iron (III) oxide', 'oxygen ferrite', 'diferrous trioxide'], 'label': ['A', 'B', 'C', 'D']}",B
What type of galaxy is the Milky Way?,"{'text': ['spiral', 'elliptical', 'irregular', 'oval'], 'label': ['A', 'B', 'C', 'D']}",A
One thing that all human cells have in common is that they,"{'text': ['control the brain.', 'make food.', 'move blood.', 'take in energy.'], 'label': ['A', 'B', 'C', 'D']}",D
Which two systems of the body are interacting when a runner sprains his ankle?,"{'text': ['the nervous system and the digestive system', 'the digestive system and the circulatory system', 'the respiratory system and the nervous system', 'the muscular system and the nervous system'], 'label': ['A', 'B', 'C', 'D']}",D
Jupiter is the largest planet in the solar system. It rotates on its axis once about every 10 hours. What time period on Earth would be 10 hours long if Earth rotated on its axis once every 10 hours?,"{'text': ['a day', 'a week', 'a month', 'a year'], 'label': ['A', 'B', 'C', 'D']}",A
The elements sulfur (S) and oxygen (O2) combine to form a substance called sulfur dioxide (SO2). Sulfur dioxide is also formed when coal and oil are burned. Sulfur dioxide can best be described as,"{'text': ['a metal', 'an atom', 'a compound', 'a nonreactive gas'], 'label': ['A', 'B', 'C', 'D']}",C
Which is a major difference between the life cycles of different types of plants?,"{'text': ['the way they die', 'the energy they use', 'the way they reproduce', 'the way they make food'], 'label': ['A', 'B', 'C', 'D']}",C
Sunlight passes through the windows of a car and causes the car seats to get hot. Which type of energy flow is involved in heating the seats?,"{'text': ['conduction', 'convection', 'insulation', 'radiation'], 'label': ['A', 'B', 'C', 'D']}",D
"When a large oak tree is cut down in a forest, it leaves a gap in the forest canopy which allows smaller trees to quickly grow in the available sunlight. Which interaction is best represented among the smaller trees?","{'text': ['parasitism', 'mutualism', 'competition', 'commensalism'], 'label': ['A', 'B', 'C', 'D']}",C
How long does it take for the Moon to rotate on its axis?,"{'text': ['one day', 'one year', 'one week', 'one month'], 'label': ['A', 'B', 'C', 'D']}",D
What is one way that humans can maintain good health?,"{'text': ['sleep all day', 'exercise daily', 'eat snacks often', 'stay up late'], 'label': ['A', 'B', 'C', 'D']}",B
Which is an example of a group of cells with a common structure and function?,"{'text': ['stomach', 'muscle tissue', 'mitochondria', 'digestive system'], 'label': ['A', 'B', 'C', 'D']}",B
"Sickle cell anemia is a genetic disease caused by an autosomal recessive gene. If each parent carries one sickle cell allele, what are the chances that their child will have sickle cell anemia?","{'text': ['no chance', 'one in four', 'two in four', 'three in four'], 'label': ['A', 'B', 'C', 'D']}",B
Which statement describes animal embryos?,"{'text': ['display all the features of an adult', 'represent the earliest stage of development', 'have the same number of cells as a fertilized egg', 'have half the number of chromosomes as an adult'], 'label': ['A', 'B', 'C', 'D']}",B
The average temperature of the surface of Earth has increased approximately 1°C in the past century. Which reason best explains this increase in temperature?,"{'text': ['higher levels of oxygen in the atmosphere', 'lower levels of ozone in the atmosphere', 'higher levels of carbon dioxide in the atmosphere', 'lower levels of nitrogen in the atmosphere'], 'label': ['A', 'B', 'C', 'D']}",C
"As the population in an area grows, water usage increases. Eventually, water usage can outstrip the supply. Which measure to increase the amount of available water demonstrates the best stewardship of the resource?","{'text': ['discovering new reservoirs of water in the aquifer', 'reducing water usage through conservation measures', 'combining hydrogen with oxygen to make water', 'piping in water from an aquifer elsewhere'], 'label': ['A', 'B', 'C', 'D']}",B
Which action illustrates a chemical change?,"{'text': ['painting a wood chest', 'sawing a wood plank', 'burning wood chips', 'cutting down a tree'], 'label': ['A', 'B', 'C', 'D']}",C
Which tool could be used to help someone count the number of ladybugs on a leaf?,"{'text': ['hand lens', 'meter stick', 'microscope', 'graduated cylinder'], 'label': ['A', 'B', 'C', 'D']}",A
Which two activities use most of the water used in an average U.S. household?,"{'text': ['flushing toilets and washing clothes', 'washing clothes and using sink faucets', 'using sink faucets and showering', 'showering and flushing toilets'], 'label': ['A', 'B', 'C', 'D']}",A
Which are the best tools to use for growing and studying bacterial cultures?,"{'text': ['beakers', 'Petri dishes', 'microscopes', 'graduated cylinders'], 'label': ['A', 'B', 'C', 'D']}",B
Which effect would the growing of legume crops such as beans and soybeans have?,"{'text': ['increase the efficiency of photosynthesis', 'greater immunity of crops against diseases', 'fewer bacteria in soil and in living organisms', 'more usable nitrogen for other plants'], 'label': ['A', 'B', 'C', 'D']}",D
Which relationship between Earth's outer core and inner core generates a large portion of Earth's magnetic field?,"{'text': ['their relative masses', 'their relative motions', 'their relative diameters', 'their relative circumferences'], 'label': ['A', 'B', 'C', 'D']}",B
Which order of succession of natural communities would most likely occur in New York State?,"{'text': ['grasses -> trees -> bushes', 'trees -> bushes -> grasses', 'bushes -> grasses -> trees', 'grasses -> bushes -> trees'], 'label': ['1', '2', '3', '4']}",4
White light can be separated into all of its component colors by,"{'text': ['mixing the three primary colors of light.', 'passing the light through a prism.', 'passing the light through a colored filter.', 'using a translucent material to filter the light.'], 'label': ['A', 'B', 'C', 'D']}",B
"An Italian scientist named Alessandro Volta invented the Voltaic pile in 1800. It was able to produce a steady electrical current. Based on this description, what is the modern equivalent of the Voltaic pile?","{'text': ['a wire', 'a battery', 'a resistor', 'a light bulb'], 'label': ['A', 'B', 'C', 'D']}",B
Which would cause the most soil to erode from a river bank in just a few days?,"{'text': ['animals climbing up the river bank', 'acid rain falling onto the river bank', 'heat from the sun drying the river bank', 'water from a flood flowing over the river bank'], 'label': ['A', 'B', 'C', 'D']}",D
A student is measuring a liquid in a graduated cylinder. The student is not tall enough to read the measurement at eye level. Which of these is the best action for the student to take to read the measurement correctly?,"{'text': ['stand on a chair', 'estimate the amount', 'pour out some of the liquid until it is at eye level', 'move the graduated cylinder to a lower table'], 'label': ['A', 'B', 'C', 'D']}",D
"When Isaac Newton theorized that gravity caused objects to fall to the ground, he had also discovered the force that causes","{'text': ['chemicals to react.', 'volcanoes to erupt.', 'lightning to strike Earth.', 'the planets to orbit the Sun.'], 'label': ['A', 'B', 'C', 'D']}",D
A disorder is associated with certain flaws in the human respiratory system. Which is most likely a typical symptom of this disorder?,"{'text': ['poor vision', 'difficulty breathing', 'reduced muscle mass', 'increased saliva production'], 'label': ['A', 'B', 'C', 'D']}",B
Which of these is the main contributor to the formation of hurricanes?,"{'text': ['high barometric pressure', 'warm ocean air', 'calm ocean surface', 'dense surface air'], 'label': ['A', 'B', 'C', 'D']}",B
Which statement correctly describes why there are fewer than 24 hours of daylight in Alaska during each day in April?,"{'text': ['Earth’s rotation slows during the day.', 'Earth’s rotation slows during the night.', 'Earth’s rotation causes both day and night.', 'Earth’s tilt on its axis causes both day and night.'], 'label': ['A', 'B', 'C', 'D']}",C
What best describes objects orbiting in the Kuiper Belt?,"{'text': ['metallic', 'rocky', 'hot', 'icy'], 'label': ['A', 'B', 'C', 'D']}",D
Coal was made from the remains of which ancient ecosystem?,"{'text': ['rocky islands', 'fertile valleys', 'green swamps', 'fast-flowing rivers'], 'label': ['A', 'B', 'C', 'D']}",C
Which of these describes a location where minerals are most likely to form?,"{'text': ['cooled magma from a volcano', 'eroded sediment from a riverbed', 'weathered rock from a canyon', 'saturated soil from a floodplain'], 'label': ['A', 'B', 'C', 'D']}",A
"In 1971, the bones of an extinct flying dinosaur were discovered. This kind of discovery helps everyone learn more about","{'text': ['impact of humans on Earth.', 'effect of gravity on animals.', 'history of animal species on Earth.', 'likelihood that dinosaurs will reappear.'], 'label': ['A', 'B', 'C', 'D']}",C
Which could be a possible way to prevent wildlife species from becoming endangered?,"{'text': ['drinking less water', 'establishing more habitats', 'cutting down more forests', 'stopping underground coal mining'], 'label': ['A', 'B', 'C', 'D']}",B
The chemical reaction of ethane and oxygen produces carbon dioxide and water. Which is the best form to identify reactants and products of the reaction?,"{'text': ['a table', 'a graph', 'a diagram', 'an equation'], 'label': ['A', 'B', 'C', 'D']}",D
Rheumatoid arthritis is a disease that occurs when the body attacks its own tissues. Which body system becomes disordered first?,"{'text': ['immune', 'nervous', 'digestive', 'circulatory'], 'label': ['A', 'B', 'C', 'D']}",A
Variation in which property between water at different temperatures contributes most to the formation of horizontal ocean layers having distinct temperatures?,"{'text': ['density', 'viscosity', 'turbidity', 'acidity'], 'label': ['A', 'B', 'C', 'D']}",A
Which event would most likely cause a rapid extinction of organisms?,"{'text': ['a large asteroid impact', 'regional drought', 'new glacier formation', 'a decrease in the growth of weeds'], 'label': ['A', 'B', 'C', 'D']}",A
"When an octopus feels threatened, it can release black ink into the water. The ink MOST likely helps the octopus","{'text': ['move quickly through the water.', 'breathe oxygen from the water.', 'hide from predators.', 'use food faster.'], 'label': ['A', 'B', 'C', 'D']}",C
Which is a way the agricultural biotechnology industry could have a positive impact on the environment?,"{'text': ['by producing crops that are virus resistant', 'by making robots to replace large farm machines', 'by reducing the need for countries to import food', 'by increasing the use of wind farms that produce electricity'], 'label': ['A', 'B', 'C', 'D']}",C
The following statements are from an article in a fitness magazine. Which of these is an opinion?,"{'text': ['Exercise increases muscle mass.', 'Regular exercise reduces resting heart rate.', 'People should exercise because it makes them feel better.', 'Those who exercise regularly can increase their life span.'], 'label': ['A', 'B', 'C', 'D']}",C
Which pair of items will repel each other?,"{'text': ['a positively-charged wool sock and a neutral plastic bag', 'a neutral cotton sweater and a negatively-charged plastic pellet', 'a negatively-charged balloon and a positively-charged piece of paper', 'a negatively-charged plastic strip and a negatively-charged piece of cloth'], 'label': ['A', 'B', 'C', 'D']}",D
"In your body, what two organs work together to make sure that oxygen gets to all the other organs of your body?","{'text': ['Lungs and kidneys', 'Heart and lungs', 'Brain and kidneys', 'Heart and liver'], 'label': ['A', 'B', 'C', 'D']}",B
"Each organ in the digestive system has a specific function. During digestion, food passes from the stomach into the small intestine. Which statement best describes what takes place in the small intestine?","{'text': ['Nutrients are absorbed from the food.', 'Wastes are prepared to pass out of the body.', 'Food is churned with acid to break down proteins.', 'Excess water is reabsorbed into the blood stream.'], 'label': ['A', 'B', 'C', 'D']}",A
Which structure is found in producers in nearly all ecosystems?,"{'text': ['stems', 'leaves', 'rhizomes', 'chloroplasts'], 'label': ['A', 'B', 'C', 'D']}",D
"A strawberry farmer finds that, after a hard freeze, some of his strawberries are still alive. Which best explains why these strawberries were able to survive?","{'text': ['They have larger leaves to protect the fruit than the other strawberries.', 'They have different genetic variations that cause them to be more resistant to cold temperatures.', 'They are able to reproduce more quickly than the other strawberries.', 'The color of the strawberries is darker, and they maintain their temperature better than other strawberries.'], 'label': ['A', 'B', 'C', 'D']}",B
Which event would most likely result in more food for organisms that are scavengers?,"{'text': ['Fish die and sink to the bottom of a pond.', 'Trees take up and store water with roots.', 'Beavers build a new dam and lodge.', 'Plants get more sunshine and water.'], 'label': ['A', 'B', 'C', 'D']}",A
"When you are riding a bicycle at night, your bicycle's reflectors help people in cars see your bicycle. How do bicycle reflectors work?","{'text': ['They are made of a special material that gives off its own light.', 'They are hooked up to batteries that allow them to produce light.', 'They bounce light back from other sources.', 'They are covered with paint that glows in the dark.'], 'label': ['A', 'B', 'C', 'D']}",C
"From Earth, the Sun appears brighter than any other star because the Sun is the","{'text': ['newest star.', 'largest star.', 'hottest star.', 'closest star.'], 'label': ['A', 'B', 'C', 'D']}",D
Scientists found fish fossils in the desert. What do the fossils tell about this environment when the fish were alive?,"{'text': ['There was a forest with large trees.', 'There were lakes with water plants.', 'There were mountains with glaciers.', 'There was a desert with large rocks.'], 'label': ['A', 'B', 'C', 'D']}",B
Chinese and European societies can use different but effective technologies when addressing medical questions. What does this demonstrate?,"{'text': ['Varied approaches can yield successful technologies.', 'Not all technologies behave according to scientific laws.', 'The development of science and technology are independent.', 'Technology results more from practice than from scientific knowledge.'], 'label': ['A', 'B', 'C', 'D']}",A
"The exotic plant Melaleuca, or Australian Pine, has increased the intensity of fires across the Everglades. The amount of fuel available for fires has increased due to the presence of the Melaleuca. The Melaleuca releases massive numbers of seeds in response to fire, drought, and herbicide damage. Which best describes the reason the Melaleuca has been able to survive?","{'text': ['adaptation', 'competition', 'diversification', 'mutation'], 'label': ['A', 'B', 'C', 'D']}",A
"Water that is used to cool nuclear power plants can be released into water bodies, causing an area called a thermal plume. A thermal plume can be 12-18°C warmer than surrounding waters. Although some fish may be attracted to the warmer water, other organisms may not be able to survive. Government officials order a study to determine the effects of a thermal plume in a water body near a nuclear power plant in North Carolina. Which factor most related to temperature should the study focus on in order to determine whether the thermal plume is damaging the health of the water system?","{'text': ['pH', 'dissolved oxygen', 'nutrient concentration', 'turbidity'], 'label': ['A', 'B', 'C', 'D']}",B
What is a galaxy?,"{'text': ['a moon that orbits a planet', 'a planet that orbits the Sun', 'a very large system of stars that is held together by gravity', 'a very large system of planets that is held together by the Sun'], 'label': ['A', 'B', 'C', 'D']}",C
Which part of a strawberry plant absorbs most of the water needed by the plant?,"{'text': ['flowers', 'fruits', 'leaves', 'roots'], 'label': ['A', 'B', 'C', 'D']}",D
"In cherry tomatoes, red color (R) is dominant to yellow color (r). If two heterozygous plants are crossed, what percentage of the offspring will be yellow?","{'text': ['0%', '25%', '50%', '100%'], 'label': ['A', 'B', 'C', 'D']}",B
Which situation is an example of a feedback system in the body that maintains homeostasis?,"{'text': ['a mouse pushing a lever to release food', 'a dog going to a food bowl when a bell rings', 'students receiving star stickers for good behavior', 'the brain signaling blood vessels to return to normal'], 'label': ['A', 'B', 'C', 'D']}",D
Which human organ system produces sperm or egg cells?,"{'text': ['digestive system', 'nervous system', 'respiratory system', 'reproductive system'], 'label': ['1', '2', '3', '4']}",4
In the human body the digestion of proteins takes place primarily in which two organs?,"{'text': ['Mouth and stomach', 'Stomach and small intestine', 'Liver and gall bladder', 'Pancreas and large intestine'], 'label': ['A', 'B', 'C', 'D']}",B
What is the source of the organic matter needed for most fertile soils?,"{'text': ['moving water', 'eroded sand', 'decaying plants', 'weathered bedrock'], 'label': ['A', 'B', 'C', 'D']}",C
A scientist finds the bones of a dinosaur. What could help the scientist determine the approximate age of the dinosaur bones?,"{'text': ['the birds living in the area of the bones', 'the weather conditions in the area of the bones', 'the kinds of trees living in the area of the bones', 'the index fossils in the area of the bones'], 'label': ['A', 'B', 'C', 'D']}",D
A pond is near river but not connected to it. What would most likely allow fish to move from the pond to the river?,"{'text': ['a fire', 'a drought', 'a snowstorm', 'a flood'], 'label': ['A', 'B', 'C', 'D']}",D
A characteristic that all living organisms have in common is they,"{'text': ['need similar food.', 'have the same life span.', 'live in the same climate.', 'are made of cells.'], 'label': ['A', 'B', 'C', 'D']}",D
"When the cells in an organism divide and reproduce, the organism can grow. Which cell organelle contains the genetic material for reproduction?","{'text': ['the nucleus', 'the ribosome', 'the mitochondrion', 'the endoplasmic reticulum'], 'label': ['A', 'B', 'C', 'D']}",A
Measurements of carbon dioxide concentrations in the air taken over the past decade have shown a,"{'text': ['leveling off.', 'slow increase.', 'steady decline.', 'dramatic increase.'], 'label': ['A', 'B', 'C', 'D']}",D
All matter is made up of particles called,"{'text': ['cells', 'molecules', 'atoms', 'compounds'], 'label': ['1', '2', '3', '4']}",3
Which of the following energy conversions takes place in a battery-operated flashlight?,"{'text': ['electrical -> mechanical -> light', 'chemical -> mechanical -> light', 'chemical -> electrical -> light', 'nuclear -> electrical -> light'], 'label': ['A', 'B', 'C', 'D']}",C
Which of these is most likely harmful to an ecosystem?,"{'text': ['Building new homes in a wetland', 'Taking away airplanes from an airport', 'Planting trees in an orchard', 'Adding floors to an office building'], 'label': ['A', 'B', 'C', 'D']}",A
Which units are best to measure the amount of rain that fell during a thunderstorm?,"{'text': ['centimeters', 'degrees Celsius', 'grams', 'seconds'], 'label': ['A', 'B', 'C', 'D']}",A
Noah visited a park that had many oak trees. Which best describes the role of an oak tree in its ecosystem?,"{'text': ['Oak trees can live for a long time.', 'Oak trees have leaves that change colors.', 'Oak trees have strong branches and trunks.', 'Oak trees are a source of food and shelter for animals.'], 'label': ['A', 'B', 'C', 'D']}",D
Which of these resources will most likely be depleted first?,"{'text': ['Wind', 'Solar energy', 'Fossil fuels', 'Water'], 'label': ['A', 'B', 'C', 'D']}",C
"When athletes begin to exercise, their heart rates and respiration rates increase. At what level of organization does the human body coordinate these functions?","{'text': ['at the tissue level', 'at the organ level', 'at the system level', 'at the cellular level'], 'label': ['A', 'B', 'C', 'D']}",C
"A student heated a pan of soup on a stove. While stirring the soup with a metal spoon, the student noticed the spoon became very warm. What is the most likely reason the spoon became warm?","{'text': ['The stirring action heated the spoon.', 'Warm air in the room heated the spoon.', 'Heat from the soup was transferred to the spoon.', ""The student's hand transferred heat to the spoon.""], 'label': ['A', 'B', 'C', 'D']}",C
Where does a landslide begin?,"{'text': ['a low hill', 'a plain', 'a mountain', 'a basin'], 'label': ['A', 'B', 'C', 'D']}",C
"Students are learning about the natural resources in Maryland. One group of students researches information about renewable natural resources in the state. The other group researches information about nonrenewable natural resources in the state. The resources the students investigate include plants, animals, soil, minerals, water, coal, and oil. Aluminum is a nonrenewable natural resource. Which of these methods of aluminum disposal is best for the environment?","{'text': ['burning it', 'recycling it', 'burying it in landfills', 'crushing it before throwing it away'], 'label': ['A', 'B', 'C', 'D']}",B
Which of the following keeps the planets in our solar system in orbit around the Sun?,"{'text': ['atmospheric pressure', 'gravitational force', 'electromagnetic energy', 'thermal energy'], 'label': ['A', 'B', 'C', 'D']}",B
Which human organ system primarily exchanges gases between the body and the atmosphere?,"{'text': ['excretory', 'nervous', 'skeletal', 'respiratory'], 'label': ['A', 'B', 'C', 'D']}",D
Moving water was the most important factor in forming which of these?,"{'text': ['the Grand Canyon', 'San Andreas Fault', 'the Rocky Mountains', 'Mount St. Helens Volcano'], 'label': ['A', 'B', 'C', 'D']}",A
Which list contains only nonliving things?,"{'text': ['coins, snakes, birds', 'water, rocks, sunlight', 'rubber ball, plants, house', 'soil, fish, air'], 'label': ['A', 'B', 'C', 'D']}",B
Which type of energy conversion occurs in a flashlight?,"{'text': ['chemical to light', 'mechanical to light', 'electrical to chemical', 'mechanical to chemical'], 'label': ['A', 'B', 'C', 'D']}",A
"Rocks that contain fragments of bones, shells, and plant remains are most likely","{'text': ['crystals.', 'igneous.', 'sedimentary.', 'metamorphic.'], 'label': ['A', 'B', 'C', 'D']}",C
Which reaction is endothermic?,"{'text': ['cold pack', 'coal burning', 'striking a match', 'charcoal grill fire'], 'label': ['A', 'B', 'C', 'D']}",A
Which property of water can cause a rock to break apart?,"{'text': ['Water boiling at 100°C.', 'Water losing energy slowly.', 'Water expanding as it freezes.', 'Water having a high surface tension.'], 'label': ['A', 'B', 'C', 'D']}",C
"With a microscope, you see that an object has a cell wall, a chloroplast, and a nucleus. What is being observed?","{'text': ['a plant cell', 'an animal cell', 'a male organism', 'a female organism'], 'label': ['A', 'B', 'C', 'D']}",A
Which instrument would be best to measure the volume of a liquid?,"{'text': ['a pan balance', 'a stopwatch', 'a thermometer', 'a graduated cylinder'], 'label': ['A', 'B', 'C', 'D']}",D
Which part of an atom is involved in chemical reactions?,"{'text': ['nucleus and its particles', 'negatively-charged particles', 'neutrally-charged particles', 'positively-charged particles'], 'label': ['A', 'B', 'C', 'D']}",B
Which tool is best used to collect information about the weather?,"{'text': ['ruler', 'stopwatch', 'thermometer', 'collecting net'], 'label': ['A', 'B', 'C', 'D']}",C
Which of these characteristics best helps scientists classify organisms?,"{'text': ['size', 'color', 'gender', 'structure'], 'label': ['A', 'B', 'C', 'D']}",D
Which resource is most likely found in large amounts in forest ecosystems?,"{'text': ['iron', 'wood', 'plastic', 'petroleum'], 'label': ['A', 'B', 'C', 'D']}",B
Which of the following best describes a role of mushrooms in ecosystems?,"{'text': ['capturing energy from sunlight', 'consuming living plant material', 'taking energy from animal hosts', 'breaking down dead plant material'], 'label': ['A', 'B', 'C', 'D']}",D
A gardener wants to increase the ability of garden soil to retain water. Which of these should the gardener add to the soil?,"{'text': ['coarse sand', 'loose gravel', 'nitrogen pellets', 'organic material'], 'label': ['A', 'B', 'C', 'D']}",D
"In the life cycle of a fly, which stage comes after the larval stage?","{'text': ['egg', 'adult', 'nymph', 'pupa'], 'label': ['A', 'B', 'C', 'D']}",D
In which example could a thermometer be used to show that heat energy is being transferred?,"{'text': ['A piano is played by striking the keys.', 'A shovel is used to move dirt from one place to another.', 'A ball is thrown into the air.', 'A stove is used to boil water in a pan.'], 'label': ['A', 'B', 'C', 'D']}",D
What is the most likely function of a turtle's hard shell?,"{'text': ['convert energy', 'increase speed', 'provide protection', 'allow for reproduction'], 'label': ['A', 'B', 'C', 'D']}",C
What is the main source of energy that causes water to evaporate from the surface of Earth?,"{'text': ['lightning', 'sun', 'gravity', 'wind'], 'label': ['A', 'B', 'C', 'D']}",B
Which terms can be used to describe the properties of both a wave and a particle of light?,"{'text': ['charge and volume', 'frequency and mass', 'speed and frequency', 'frequency and density'], 'label': ['A', 'B', 'C', 'D']}",C
"To use energy from the Sun to power household appliances, the solar energy must be converted to","{'text': ['heat energy.', 'light energy.', 'nuclear energy.', 'electrical energy.'], 'label': ['A', 'B', 'C', 'D']}",D
"The yellow-throated longclaw is a bird that lives on the dry savanna of Africa. It looks almost exactly like another bird, the western meadowlark of North America. Although the birds look very similar, they are not even in the same taxonomic family. Scientists think the birds look alike because the two species developed under similar environmental pressures, even though they developed thousands of miles apart. Which process does their development demonstrate?","{'text': ['sexual selection', 'disruptive selection', 'divergent evolution', 'convergent evolution'], 'label': ['A', 'B', 'C', 'D']}",D
The reaction that releases energy for use by the cell occurs in which site?,"{'text': ['Golgi apparatus', 'endoplasmic reticulum', 'cytoplasmic membrane', 'mitochondrial membrane'], 'label': ['A', 'B', 'C', 'D']}",D
Why do doctors suggest that people get a flu vaccine each year?,"{'text': ['Viruses replicate more rapidly over time.', 'Viruses can mutate from year to year.', 'Vaccines are absorbed by the body after a year.', 'Vaccines get stronger over time.'], 'label': ['A', 'B', 'C', 'D']}",B
Which of the following events involves a consumer and producer in a food chain?,"{'text': ['A cat eats a mouse.', 'A deer eats a leaf.', 'A hawk eats a mouse.', 'A snake eats a rat.'], 'label': ['A', 'B', 'C', 'D']}",B
The change from day to night on Earth can be explained by,"{'text': ['the movement of the Sun.', 'the rotation of Earth.', 'the movement of the Moon.', 'the tilt of Earth.'], 'label': ['A', 'B', 'C', 'D']}",B
Which part of a bicycle BEST moves in a circle?,"{'text': ['Seat', 'Frame', 'Foot pedal', 'Kickstand'], 'label': ['A', 'B', 'C', 'D']}",C
"When animals use energy, what is always produced?","{'text': ['sugar', 'heat', 'oxygen', 'starch'], 'label': ['A', 'B', 'C', 'D']}",B
Which type of rock is formed when hot lava cools?,"{'text': ['coal', 'igneous', 'limestone', 'metamorphic'], 'label': ['A', 'B', 'C', 'D']}",B
Which environmental factor would most likely prevent an orange tree from surviving in the desert?,"{'text': ['the lack of moisture', 'the high levels of heat', 'the extra amount of wind', 'the low levels of sunlight'], 'label': ['A', 'B', 'C', 'D']}",A
"After a rainstorm, a big pile of rocks blocks part of a mountain road. Which event most likely caused the rocks to move onto the road?","{'text': ['a tsunami', 'a blizzard', 'a landslide', 'a hurricane'], 'label': ['A', 'B', 'C', 'D']}",C
What would be the result of adding one proton to an atom?,"{'text': ['one electron would be added', 'the atomic number would change', 'the total mass of the atom would decrease', 'the electrical charge would become neutral'], 'label': ['A', 'B', 'C', 'D']}",B
What would be the best source to find information about DNA testing?,"{'text': ['local newspaper', 'TV news report', 'scientific journals', 'world almanac'], 'label': ['A', 'B', 'C', 'D']}",C
In what section of Earth do earthquakes happen?,"{'text': ['crust', 'mantle', 'inner core', 'outer core'], 'label': ['A', 'B', 'C', 'D']}",A
A complete fossil has been found of a type of bird that cannot be identified. What can most likely be determined about the bird from the fossil?,"{'text': ['The bird lived for a very short time.', 'The bird lived in a dry environment.', 'The bird existed at one time but is now extinct.', 'The bird was not well preserved during the process of fossilization.'], 'label': ['A', 'B', 'C', 'D']}",C
"When large areas of the rainforests are cleared and burned, climate can be affected. Which best explains how rainforest destruction can contribute to the greenhouse effect?","{'text': ['by threatening native plants and animals', 'by increasing the rate of soil erosion', 'by increasing the water levels in oceans', 'by releasing carbon into the atmosphere'], 'label': ['A', 'B', 'C', 'D']}",D
Which information is used in a station model?,"{'text': ['yearly average precipitation', 'daily average barometric pressure', 'number of lightning strikes', 'wind direction in a particular point and time'], 'label': ['A', 'B', 'C', 'D']}",D
Which part of a plant is most responsible for using energy from the Sun to produce food for the plant?,"{'text': ['flower', 'leaf', 'root', 'stem'], 'label': ['A', 'B', 'C', 'D']}",B
"Which natural formation is the best example of the result of both constructive and destructive forces such as weathering, erosion, and deposition of sediment?","{'text': ['The Mid-Atlantic Ridge', 'The Grand Canyon', 'The Mojave Desert', 'The Himalayan Mountains'], 'label': ['A', 'B', 'C', 'D']}",B
Which characteristic helps a fox find food?,"{'text': ['sense of smell', 'thick fur', 'long tail', 'pointed teeth'], 'label': ['A', 'B', 'C', 'D']}",A
"Tay-Sachs disease is a recessive genetic disorder. If only one gene is present, an individual is a carrier. What is the probability of two healthy Tay-Sachs carriers having a child that has the disease?","{'text': ['0%', '25%', '50%', '75%'], 'label': ['A', 'B', 'C', 'D']}",B
Two identical lamps contain the same amount of different types of oil. They are allowed to burn until all the oil has been burned. Which measurement will best provide the total difference in chemical energy between the two oils?,"{'text': ['final weight of lamp', 'original volume of oil', 'time it took for lamps to use oil', 'height of flame produced by lamp'], 'label': ['A', 'B', 'C', 'D']}",C
Which disease is a result of abnormal cell division?,"{'text': ['AIDS', 'cancer', 'chicken pox', 'common cold'], 'label': ['1', '2', '3', '4']}",2
During which season of the year would a rabbit's fur be thickest?,"{'text': ['fall', 'spring', 'summer', 'winter'], 'label': ['A', 'B', 'C', 'D']}",D
Which property of an element is determined by adding the number of protons and number of neutrons?,"{'text': ['atomic mass', 'atomic radius', 'electrical charge', 'electrical potential'], 'label': ['A', 'B', 'C', 'D']}",A
Which of these cycles takes 24 hours?,"{'text': ['Earth rotating on its axis', 'Earth revolving around the Sun', 'the Moon rotating on its axis', 'the Moon revolving around Earth'], 'label': ['A', 'B', 'C', 'D']}",A
"Lemon juice turns litmus paper red, is corrosive and tastes sour. Lemon juice is classified as","{'text': ['an acid.', 'a base.', 'an element.', 'More information is needed to classify lemon juice.'], 'label': ['A', 'B', 'C', 'D']}",A
A child walks across a carpet and generates an electrical charge. The child will get a slight shock by touching a,"{'text': ['metal doorknob.', 'plastic toy.', 'rubber ball.', 'wooden block.'], 'label': ['A', 'B', 'C', 'D']}",A
Which animal eats only plants?,"{'text': ['Cat', 'Dog', 'Lion', 'Rabbit'], 'label': ['A', 'B', 'C', 'D']}",D
A newborn kangaroo has the ability to crawl into its mother's pouch to drink milk. This is an example of,"{'text': ['migration.', 'an instinct.', 'hibernation.', 'a learned behavior.'], 'label': ['A', 'B', 'C', 'D']}",B
Which characteristic is shared by Earth and the Moon?,"{'text': ['glaciers', 'flowing water', 'an atmosphere that contains oxygen', 'an orbit created by the force of gravity'], 'label': ['A', 'B', 'C', 'D']}",D
"The Piedmont and Coastal Plains regions in Maryland produce crops such as corn, soybeans, wheat, tobacco, tomatoes, and apples. Which environmental factor most likely influences which crops are grown in these regions?","{'text': ['soil quality', 'wind speeds', 'bird migration', 'water temperature'], 'label': ['A', 'B', 'C', 'D']}",A
Which organ system is responsible for the exchange of oxygen and carbon dioxide between the body and the environment?,"{'text': ['circulatory', 'excretory', 'immune', 'respiratory'], 'label': ['A', 'B', 'C', 'D']}",D
Which of these will always produce a magnetic field?,"{'text': ['a bar of steel', 'a bar of aluminum', 'an electric current', 'an electric charge'], 'label': ['A', 'B', 'C', 'D']}",C
